Date,Description,Amount,GST,GL Code
2026-08-01,HOME DEPOT #2047,214.63,10.22,materials
2026-08-02,STAPLES #114,89.99,4.29,office
2026-08-03,SHELL OIL 5521,102.40,4.88,fuel
2026-08-05,AMAZON.CA*MK4TP,431.29,20.54,materials
2026-08-06,COSTCO WHOLESALE 442,780.15,37.15,materials
2026-08-08,PURDYS CHOCOLATES,64.20,3.06,client gifts
2026-08-09,HOME DEPOT #2047,156.00,7.43,materials
2026-08-11,TELUS MOBILITY,145.35,6.92,utilities
2026-08-12,STAPLES #114,42.87,2.04,office
2026-08-14,UBER TRIP 8841,28.60,1.36,travel
2026-08-15,AMAZON.CA*KP92X,78.99,3.76,office
2026-08-17,FORTIS BC,210.44,10.02,utilities
2026-08-18,HOME DEPOT #2047,999.32,47.59,materials
2026-08-20,ROGERS COMMUNICATIONS,189.99,9.05,utilities
2026-08-21,COSTCO WHOLESALE 442,312.78,14.89,materials
2026-08-22,REFUND: AMAZON.CA*MK4TP,-431.29,0.00,materials
2026-08-24,PETRO CANADA 998,75.10,3.58,fuel
2026-08-25,DELTA HOTEL VANCOUVER,486.72,23.18,travel
2026-08-27,STAPLES #114,120.50,5.74,office
2026-08-28,HOME DEPOT #2047,64.99,3.09,materials
